,id,_label,name,code,lineNumber,controlStructureType,ALPHA,node_label,node_content
2,0_4,TYPE_DECL,<global>,<global>,0_____1.0,,ADD,TYPE_DECL_1.0: <global>,type <global> 
3,0_5,METHOD,<global>,<global>,0_____1.0,,ADD,METHOD_1.0: <global>,
5,0_7,METHOD,sstrcmp,"int sstrcmp (const char *s1,const char *e1,const char *s2,const char *e2)",0_____1.0,,ADD,"METHOD_1.0: int sstrcmp (const char *s1,const char *e1,const char *s2,const char *e2)",methodDecl sstrcmp 
6,0_8,METHOD_PARAMETER_IN,s1,const char *s1,0_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: const char *s1,variable s1 
7,0_9,METHOD_PARAMETER_IN,e1,const char *e1,0_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: const char *e1,variable e1 
8,0_10,METHOD_PARAMETER_IN,s2,const char *s2,0_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: const char *s2,variable s2 
9,0_11,METHOD_PARAMETER_IN,e2,const char *e2,0_____2.0,,ADD,METHOD_PARAMETER_IN_2.0: const char *e2,variable e2 
11,0_13,CONTROL_STRUCTURE,,for (;;),0_____4.0,FOR,ADD,CONTROL_STRUCTURE_4.0: for (;;),forStmt 
14,0_16,CONTROL_STRUCTURE,,if (!*s1 || !*s2 || *s1 != *s2),0_____5.0,IF,ADD,CONTROL_STRUCTURE_5.0: if (!*s1 || !*s2 || *s1 != *s2),ifStmt 
15,0_17,CALL,<operator>.logicalOr,!*s1 || !*s2 || *s1 != *s2,0_____5.0,,ADD,CALL_5.0: !*s1 || !*s2 || *s1 != *s2,logicalOr 
16,0_18,CALL,<operator>.logicalOr,!*s1 || !*s2,0_____5.0,,ADD,CALL_5.0: !*s1 || !*s2,logicalOr 
17,0_19,CALL,<operator>.logicalNot,!*s1,0_____5.0,,ADD,CALL_5.0: !*s1,logicalNot 
18,0_20,CALL,<operator>.indirection,*s1,0_____5.0,,ADD,CALL_5.0: *s1,indirection 
19,0_21,IDENTIFIER,s1,s1,0_____5.0,,ADD,IDENTIFIER_5.0: s1,variable s1 
20,0_22,CALL,<operator>.logicalNot,!*s2,0_____5.0,,ADD,CALL_5.0: !*s2,logicalNot 
21,0_23,CALL,<operator>.indirection,*s2,0_____5.0,,ADD,CALL_5.0: *s2,indirection 
22,0_24,IDENTIFIER,s2,s2,0_____5.0,,ADD,IDENTIFIER_5.0: s2,variable s2 
23,0_25,CALL,<operator>.notEquals,*s1 != *s2,0_____5.0,,ADD,CALL_5.0: *s1 != *s2,notEquals 
24,0_26,CALL,<operator>.indirection,*s1,0_____5.0,,ADD,CALL_5.0: *s1,indirection 
25,0_27,IDENTIFIER,s1,s1,0_____5.0,,ADD,IDENTIFIER_5.0: s1,variable s1 
26,0_28,CALL,<operator>.indirection,*s2,0_____5.0,,ADD,CALL_5.0: *s2,indirection 
27,0_29,IDENTIFIER,s2,s2,0_____5.0,,ADD,IDENTIFIER_5.0: s2,variable s2 
29,0_31,RETURN,,return (*s1 - *s2);,0_____6.0,,ADD,RETURN_6.0: return (*s1 - *s2);,return return   s1    s2   
30,0_32,CALL,<operator>.subtraction,*s1 - *s2,0_____6.0,,ADD,CALL_6.0: *s1 - *s2,subtraction 
31,0_33,CALL,<operator>.indirection,*s1,0_____6.0,,ADD,CALL_6.0: *s1,indirection 
32,0_34,IDENTIFIER,s1,s1,0_____6.0,,ADD,IDENTIFIER_6.0: s1,variable s1 
33,0_35,CALL,<operator>.indirection,*s2,0_____6.0,,ADD,CALL_6.0: *s2,indirection 
34,0_36,IDENTIFIER,s2,s2,0_____6.0,,ADD,IDENTIFIER_6.0: s2,variable s2 
36,0_38,CALL,<operator>.preIncrement,++s1,0_____7.0,,ADD,CALL_7.0: ++s1,preIncrement 
37,0_39,IDENTIFIER,s1,s1,0_____7.0,,ADD,IDENTIFIER_7.0: s1,variable s1 
38,0_40,CALL,<operator>.preIncrement,++s2,0_____7.0,,ADD,CALL_7.0: ++s2,preIncrement 
39,0_41,IDENTIFIER,s2,s2,0_____7.0,,ADD,IDENTIFIER_7.0: s2,variable s2 
40,0_42,CONTROL_STRUCTURE,,if (s1 == e1 && s2 == e2),0_____8.0,IF,ADD,CONTROL_STRUCTURE_8.0: if (s1 == e1 && s2 == e2),ifStmt 
41,0_43,CALL,<operator>.logicalAnd,s1 == e1 && s2 == e2,0_____8.0,,ADD,CALL_8.0: s1 == e1 && s2 == e2,logicalAnd 
42,0_44,CALL,<operator>.equals,s1 == e1,0_____8.0,,ADD,CALL_8.0: s1 == e1,equals 
43,0_45,IDENTIFIER,s1,s1,0_____8.0,,ADD,IDENTIFIER_8.0: s1,variable s1 
44,0_46,IDENTIFIER,e1,e1,0_____8.0,,ADD,IDENTIFIER_8.0: e1,variable e1 
45,0_47,CALL,<operator>.equals,s2 == e2,0_____8.0,,ADD,CALL_8.0: s2 == e2,equals 
46,0_48,IDENTIFIER,s2,s2,0_____8.0,,ADD,IDENTIFIER_8.0: s2,variable s2 
47,0_49,IDENTIFIER,e2,e2,0_____8.0,,ADD,IDENTIFIER_8.0: e2,variable e2 
49,0_51,RETURN,,return (0);,0_____9.0,,ADD,RETURN_9.0: return (0);,return return  0   
50,0_52,LITERAL,,0,0_____9.0,,ADD,LITERAL_9.0: 0,literal  
51,0_53,CONTROL_STRUCTURE,,else,0_____10.0,ELSE,ADD,CONTROL_STRUCTURE_10.0: else,CtrlStruct 
53,0_55,CONTROL_STRUCTURE,,if (s1 == e1),0_____10.0,IF,ADD,CONTROL_STRUCTURE_10.0: if (s1 == e1),ifStmt 
54,0_56,CALL,<operator>.equals,s1 == e1,0_____10.0,,ADD,CALL_10.0: s1 == e1,equals 
55,0_57,IDENTIFIER,s1,s1,0_____10.0,,ADD,IDENTIFIER_10.0: s1,variable s1 
56,0_58,IDENTIFIER,e1,e1,0_____10.0,,ADD,IDENTIFIER_10.0: e1,variable e1 
58,0_60,RETURN,,return (*s2);,0_____11.0,,ADD,RETURN_11.0: return (*s2);,return return   s2   
59,0_61,CALL,<operator>.indirection,*s2,0_____11.0,,ADD,CALL_11.0: *s2,indirection 
60,0_62,IDENTIFIER,s2,s2,0_____11.0,,ADD,IDENTIFIER_11.0: s2,variable s2 
61,0_63,CONTROL_STRUCTURE,,else,0_____12.0,ELSE,ADD,CONTROL_STRUCTURE_12.0: else,CtrlStruct 
63,0_65,CONTROL_STRUCTURE,,if (s2 == e2),0_____12.0,IF,ADD,CONTROL_STRUCTURE_12.0: if (s2 == e2),ifStmt 
64,0_66,CALL,<operator>.equals,s2 == e2,0_____12.0,,ADD,CALL_12.0: s2 == e2,equals 
65,0_67,IDENTIFIER,s2,s2,0_____12.0,,ADD,IDENTIFIER_12.0: s2,variable s2 
66,0_68,IDENTIFIER,e2,e2,0_____12.0,,ADD,IDENTIFIER_12.0: e2,variable e2 
68,0_70,RETURN,,return (*s1);,0_____13.0,,ADD,RETURN_13.0: return (*s1);,return return   s1   
69,0_71,CALL,<operator>.indirection,*s1,0_____13.0,,ADD,CALL_13.0: *s1,indirection 
70,0_72,IDENTIFIER,s1,s1,0_____13.0,,ADD,IDENTIFIER_13.0: s1,variable s1 
71,0_73,METHOD_RETURN,,int,0_____1.0,,ADD,METHOD_RETURN_1.0: int,return int 
120,0_125,METHOD_PARAMETER_OUT,s1,const char *s1,0_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *s1,variable s1 
121,0_126,METHOD_PARAMETER_OUT,e1,const char *e1,0_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *e1,variable e1 
122,0_127,METHOD_PARAMETER_OUT,s2,const char *s2,0_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *s2,variable s2 
123,0_128,METHOD_PARAMETER_OUT,e2,const char *e2,0_____2.0,,ADD,METHOD_PARAMETER_OUT_2.0: const char *e2,variable e2 
2,1_4,TYPE_DECL,<global>,<global>,1_____1.0,,ADD,TYPE_DECL_1.0: <global>,type <global> 
3,1_5,METHOD,<global>,<global>,1_____1.0,,ADD,METHOD_1.0: <global>,
5,1_7,METHOD,altcmp,"int altcmp (const char *s,const char *e,const char *altstr)",1_____1.0,,ADD,"METHOD_1.0: int altcmp (const char *s,const char *e,const char *altstr)",methodDecl altcmp 
6,1_8,METHOD_PARAMETER_IN,s,const char *s,1_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: const char *s,variable s 
7,1_9,METHOD_PARAMETER_IN,e,const char *e,1_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: const char *e,variable e 
8,1_10,METHOD_PARAMETER_IN,altstr,const char *altstr,1_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: const char *altstr,variable altstr 
10,1_12,LOCAL,p,const char* p,1_____3.0,,ADD,LOCAL_3.0: const char* p,variable p 
11,1_13,LOCAL,q,const char* q,1_____3.0,,ADD,LOCAL_3.0: const char* q,variable q 
12,1_14,CONTROL_STRUCTURE,,for (q = p = altstr;;),1_____5.0,FOR,ADD,CONTROL_STRUCTURE_5.0: for (q = p = altstr;;),forStmt 
14,1_16,CALL,<operator>.assignment,q = p = altstr,1_____5.0,,ADD,CALL_5.0: q = p = altstr,assignment 
15,1_17,IDENTIFIER,q,q,1_____5.0,,ADD,IDENTIFIER_5.0: q,variable q 
16,1_18,CALL,<operator>.assignment,p = altstr,1_____5.0,,ADD,CALL_5.0: p = altstr,assignment 
17,1_19,IDENTIFIER,p,p,1_____5.0,,ADD,IDENTIFIER_5.0: p,variable p 
18,1_20,IDENTIFIER,altstr,altstr,1_____5.0,,ADD,IDENTIFIER_5.0: altstr,variable altstr 
20,1_22,CONTROL_STRUCTURE,,while (*p && *p != '|'),1_____6.0,WHILE,ADD,CONTROL_STRUCTURE_6.0: while (*p && *p != '|'),whileStmt 
21,1_23,CALL,<operator>.logicalAnd,*p && *p != '|',1_____6.0,,ADD,CALL_6.0: *p && *p != '|',logicalAnd 
22,1_24,CALL,<operator>.indirection,*p,1_____6.0,,ADD,CALL_6.0: *p,indirection 
23,1_25,IDENTIFIER,p,p,1_____6.0,,ADD,IDENTIFIER_6.0: p,variable p 
24,1_26,CALL,<operator>.notEquals,*p != '|',1_____6.0,,ADD,CALL_6.0: *p != '|',notEquals 
25,1_27,CALL,<operator>.indirection,*p,1_____6.0,,ADD,CALL_6.0: *p,indirection 
26,1_28,IDENTIFIER,p,p,1_____6.0,,ADD,IDENTIFIER_6.0: p,variable p 
27,1_29,LITERAL,,'|',1_____6.0,,ADD,LITERAL_6.0: '|',literal  
28,1_30,CALL,<operator>.preIncrement,++p,1_____7.0,,ADD,CALL_7.0: ++p,preIncrement 
29,1_31,IDENTIFIER,p,p,1_____7.0,,ADD,IDENTIFIER_7.0: p,variable p 
30,1_32,CONTROL_STRUCTURE,,"if ((q == p && !*s) || (q != p && !sstrcmp(s, e, q, p)))",1_____8.0,IF,ADD,"CONTROL_STRUCTURE_8.0: if ((q == p && !*s) || (q != p && !sstrcmp(s, e, q, p)))",ifStmt 
31,1_33,CALL,<operator>.logicalOr,"(q == p && !*s) || (q != p && !sstrcmp(s, e, q, p))",1_____8.0,,ADD,"CALL_8.0: (q == p && !*s) || (q != p && !sstrcmp(s, e, q, p))",logicalOr 
32,1_34,CALL,<operator>.logicalAnd,q == p && !*s,1_____8.0,,ADD,CALL_8.0: q == p && !*s,logicalAnd 
33,1_35,CALL,<operator>.equals,q == p,1_____8.0,,ADD,CALL_8.0: q == p,equals 
34,1_36,IDENTIFIER,q,q,1_____8.0,,ADD,IDENTIFIER_8.0: q,variable q 
35,1_37,IDENTIFIER,p,p,1_____8.0,,ADD,IDENTIFIER_8.0: p,variable p 
36,1_38,CALL,<operator>.logicalNot,!*s,1_____8.0,,ADD,CALL_8.0: !*s,logicalNot 
37,1_39,CALL,<operator>.indirection,*s,1_____8.0,,ADD,CALL_8.0: *s,indirection 
38,1_40,IDENTIFIER,s,s,1_____8.0,,ADD,IDENTIFIER_8.0: s,variable s 
39,1_41,CALL,<operator>.logicalAnd,"q != p && !sstrcmp(s, e, q, p)",1_____8.0,,ADD,"CALL_8.0: q != p && !sstrcmp(s, e, q, p)",logicalAnd 
40,1_42,CALL,<operator>.notEquals,q != p,1_____8.0,,ADD,CALL_8.0: q != p,notEquals 
41,1_43,IDENTIFIER,q,q,1_____8.0,,ADD,IDENTIFIER_8.0: q,variable q 
42,1_44,IDENTIFIER,p,p,1_____8.0,,ADD,IDENTIFIER_8.0: p,variable p 
43,1_45,CALL,<operator>.logicalNot,"!sstrcmp(s, e, q, p)",1_____8.0,,ADD,"CALL_8.0: !sstrcmp(s, e, q, p)",logicalNot 
44,1_46,CALL,sstrcmp,"sstrcmp(s, e, q, p)",1_____8.0,,ADD,"CALL_8.0: sstrcmp(s, e, q, p)",funcCall sstrcmp 
45,1_47,IDENTIFIER,s,s,1_____8.0,,ADD,IDENTIFIER_8.0: s,variable s 
46,1_48,IDENTIFIER,e,e,1_____8.0,,ADD,IDENTIFIER_8.0: e,variable e 
47,1_49,IDENTIFIER,q,q,1_____8.0,,ADD,IDENTIFIER_8.0: q,variable q 
48,1_50,IDENTIFIER,p,p,1_____8.0,,ADD,IDENTIFIER_8.0: p,variable p 
50,1_52,RETURN,,return (0);,1_____9.0,,ADD,RETURN_9.0: return (0);,return return  0   
51,1_53,LITERAL,,0,1_____9.0,,ADD,LITERAL_9.0: 0,literal  
52,1_54,CONTROL_STRUCTURE,,if (!*p),1_____10.0,IF,ADD,CONTROL_STRUCTURE_10.0: if (!*p),ifStmt 
53,1_55,CALL,<operator>.logicalNot,!*p,1_____10.0,,ADD,CALL_10.0: !*p,logicalNot 
54,1_56,CALL,<operator>.indirection,*p,1_____10.0,,ADD,CALL_10.0: *p,indirection 
55,1_57,IDENTIFIER,p,p,1_____10.0,,ADD,IDENTIFIER_10.0: p,variable p 
57,1_59,RETURN,,return (1);,1_____11.0,,ADD,RETURN_11.0: return (1);,return return  1   
58,1_60,LITERAL,,1,1_____11.0,,ADD,LITERAL_11.0: 1,literal  
59,1_61,CONTROL_STRUCTURE,,else,1_____13.0,ELSE,ADD,CONTROL_STRUCTURE_13.0: else,CtrlStruct 
61,1_63,CALL,<operator>.assignment,q = ++p,1_____13.0,,ADD,CALL_13.0: q = ++p,assignment 
62,1_64,IDENTIFIER,q,q,1_____13.0,,ADD,IDENTIFIER_13.0: q,variable q 
63,1_65,CALL,<operator>.preIncrement,++p,1_____13.0,,ADD,CALL_13.0: ++p,preIncrement 
64,1_66,IDENTIFIER,p,p,1_____13.0,,ADD,IDENTIFIER_13.0: p,variable p 
65,1_67,METHOD_RETURN,,int,1_____1.0,,ADD,METHOD_RETURN_1.0: int,return int 
121,1_126,METHOD_PARAMETER_OUT,s,const char *s,1_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *s,variable s 
122,1_127,METHOD_PARAMETER_OUT,e,const char *e,1_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *e,variable e 
123,1_128,METHOD_PARAMETER_OUT,altstr,const char *altstr,1_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *altstr,variable altstr 
2,2_4,TYPE_DECL,<global>,<global>,2_____1.0,,ADD,TYPE_DECL_1.0: <global>,type <global> 
3,2_5,METHOD,<global>,<global>,2_____1.0,,ADD,METHOD_1.0: <global>,
5,2_7,METHOD,setfeatures,"void setfeatures (uint32_t *pval,const char *str,const char **featureset,int *perr)",2_____1.0,,ADD,"METHOD_1.0: void setfeatures (uint32_t *pval,const char *str,const char **featureset,int *perr)",methodDecl setfeatures 
6,2_8,METHOD_PARAMETER_IN,pval,uint32_t *pval,2_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: uint32_t *pval,variable pval 
7,2_9,METHOD_PARAMETER_IN,str,const char *str,2_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: const char *str,variable str 
8,2_10,METHOD_PARAMETER_IN,featureset,const char **featureset,2_____2.0,,ADD,METHOD_PARAMETER_IN_2.0: const char **featureset,variable featureset 
9,2_11,METHOD_PARAMETER_IN,perr,int *perr,2_____2.0,,ADD,METHOD_PARAMETER_IN_2.0: int *perr,variable perr 
11,2_13,LOCAL,p,const char* p,2_____4.0,,ADD,LOCAL_4.0: const char* p,variable p 
12,2_14,LOCAL,q,const char* q,2_____4.0,,ADD,LOCAL_4.0: const char* q,variable q 
13,2_15,CONTROL_STRUCTURE,,for (q = p = str;*p || *q;q = p),2_____6.0,FOR,ADD,CONTROL_STRUCTURE_6.0: for (q = p = str;*p || *q;q = p),forStmt 
15,2_17,CALL,<operator>.assignment,q = p = str,2_____6.0,,ADD,CALL_6.0: q = p = str,assignment 
16,2_18,IDENTIFIER,q,q,2_____6.0,,ADD,IDENTIFIER_6.0: q,variable q 
17,2_19,CALL,<operator>.assignment,p = str,2_____6.0,,ADD,CALL_6.0: p = str,assignment 
18,2_20,IDENTIFIER,p,p,2_____6.0,,ADD,IDENTIFIER_6.0: p,variable p 
19,2_21,IDENTIFIER,str,str,2_____6.0,,ADD,IDENTIFIER_6.0: str,variable str 
20,2_22,CALL,<operator>.logicalOr,*p || *q,2_____6.0,,ADD,CALL_6.0: *p || *q,logicalOr 
21,2_23,CALL,<operator>.indirection,*p,2_____6.0,,ADD,CALL_6.0: *p,indirection 
22,2_24,IDENTIFIER,p,p,2_____6.0,,ADD,IDENTIFIER_6.0: p,variable p 
23,2_25,CALL,<operator>.indirection,*q,2_____6.0,,ADD,CALL_6.0: *q,indirection 
24,2_26,IDENTIFIER,q,q,2_____6.0,,ADD,IDENTIFIER_6.0: q,variable q 
